timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705575637649,2118,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-6,text,true,,171457,194,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,2052,0,147
1705575639117,658,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-7,text,true,,215570,122,1,1,https://www.bunnycart.com/,646,0,296
1705575639778,692,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-7,text,true,,180222,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,684,0,0
1705575640475,1880,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-7,text,true,,172119,338,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,69,0,0
1705575640475,69,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-7,,true,,662,144,2,2,https://bunnycart.com/aquatic-plants/water-poppy,69,0,0
1705575640547,1808,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-7,text,true,,171457,194,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,1681,0,162
1705575642117,1326,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-8,text,true,,215550,122,1,1,https://www.bunnycart.com/,1311,0,301
1705575643447,1427,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-8,text,true,,180226,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,1422,0,0
1705575644887,960,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-8,text,true,,172119,338,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,72,0,0
1705575644887,72,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-8,,true,,666,144,2,2,https://bunnycart.com/aquatic-plants/water-poppy,72,0,0
1705575644960,887,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-8,text,true,,171453,194,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,872,0,60
1705575645117,1668,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-9,text,true,,215552,122,1,1,https://www.bunnycart.com/,1658,0,286
1705575646790,1428,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-9,text,true,,180232,151,2,2,https://www.bunnycart.com/catalogsearch/result/?q=water,1424,0,0
1705575648220,869,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-9,text,true,,172117,338,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,68,0,0
1705575648220,68,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-9,,true,,664,144,2,2,https://bunnycart.com/aquatic-plants/water-poppy,68,0,0
1705575648290,799,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-9,text,true,,171453,194,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,785,0,50
1705575648116,1289,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-10,text,true,,215562,122,1,1,https://www.bunnycart.com/,1272,0,298
1705575649411,434,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-10,text,true,,180213,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,424,0,0
1705575649850,628,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-10,text,true,,172121,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,73,0,0
1705575649850,73,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-10,,true,,664,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,73,0,0
1705575649925,553,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-10,text,true,,171457,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,486,0,179
